negative	@united i think he actually did not like your screen  @campilley 😃😃😃
negative	@SouthwestAir where do we start? I've already wasted 1.5 hrs of phone wait time already :-(
negative	"@SouthwestAir are bicycles that the 62""
negative	@JetBlue yeah I'm aware of that. Hence my original msg to you.
negative	"@united it's not getting any better. I'd suggest you get a senior manager to this gate 
negative	@USAirways If my flight is going to be Cancelled Flightled every week I might as well be in business class.
negative	@United is freaking worthless. I hate this airline. http://t.co/dN1if2cGwE
negative	@united Exhausted &amp; frustrated! Link to a FB post abt my travel issue https://t.co/LaRKC8vc4s
negative	@USAirways oh great after a 5 hour delay we get to sit on the plane for another hour without it moving.  Flight 1137 has been awful
positive	@united flight 1491...plane from SFO to DEN is basically on time.
negative	@united I was on hold for over 20 minutes and was talking to one of your employees. I asked him for name or id # and he hung up in my face!
negative	@JetBlue there were seats but after waiting on hold for 20 minutes they were gone-now she has to stay another night in charleston-very pricy
negative	@united I just checked my united app and the most valuable use of this app has been removed. I can no longer see the status of my equipment?
positive	@united thank you for getting our daughter home when @americanair Cancelled Flightled all their flights to Nashville
negative	@JetBlue hard when you're with your younger siblings and cousin and they just want to go on the airplane. We should get better than this
neutral	@united @paigeworthy : page United values your tweet b/c it's so rare that they receive tweets complimenting their service...most are fake.
neutral	@JetBlue he's sch for 530 tmw on AA. would love to find him an earlier one with yall if possible. He's in FLL
neutral	@usairways Does anyone know the hold times for USAirways reservations?
positive	"@united sweet
negative	@AmericanAir I understand the weather issue but you can't expect passengers to wait 24 hours inside airports for whatever reason. Outrageous
negative	@AmericanAir I have been waiting at this airport since 11 am and have to wait until 8:30 tomorrow and cannot get any sort of help!
positive	@united thanks for not getting my BusinessFirst priority tagged bag onto my connecting flight at EWR despite a 2+ hour layover. Nice job
negative	@AmericanAir ive literally been holding for more than 2 HOURS now. i was told 2hrs. You all are sabotaging any chance i have of getting home
negative	"@SouthwestAir where are our pilots? Plane is here flight says it's still on time
neutral	@SouthwestAir your hold music sounds like it's from Super Mario Bros for gameboy color
negative	@SouthwestAir tried online and told I must call b/c of modifications to my reservation. Been on hold for almost 2 hours.
negative	@SouthwestAir been dealing with multiple offices for the last 3 days. Youve completely lost me as a customer unless my bag is back to me.
neutral	"@JetBlue Flight 1133 (N353JB) ""Blue La La"" departs @mco enroute to San Juan International Airport http://t.co/SWZm2fX3nu"
negative	"@USAirways Said only way to get on plane about to leave that would make my connection was a $75 fee. Instead of earlier
negative	@united   It's too bad UA has had another unforeseeable operational issue on my return flight.
negative	@united I took care of it myself. Had to rent a car and drive 3 hours to retrieve my belongings. Due to united errors.
negative	@AmericanAir so you fail again flight to rdu sitting waiting on flight attendants. your logistics are not good
neutral	@USAirways really!??

neutral	@JetBlue Airways Sees Significant Drop in Short Interest (JBLU) - Mideast Time http://t.co/SSBaUJtOuW
positive	@united man I can't wait to book my ticket now! Thanks JP you're a life sabe
negative	@united how can u not have gate ready or gate agent for going on hour two
negative	@JetBlue that is my point! They are only offering me a flight the next day and expect me to now pay for a hotel because they Cancelled Flightled.
negative	@AmericanAir Pathetic answer. Just found out my bag has been sitting at LGA for 20 hours and no call from you to lmk or delivery of bag. BAD
positive	@JetBlue thanks so much for your condolences and quick response. It is very much appreciated
negative	1/2 @united Just be honest with your customers. The new seats are designed to fit more rows on the plane. More rows = more money.
negative	"@united I did
positive	@JetBlue Thanks for the $100 credit because of the 4hr delay. I can tell customer service means a lot to YOU #Thankful
negative	@JetBlue We just landed in Vegas but not allowed to leave the plane just yet. Thanks for making me miss my flight at 1 pm. #fustrated
